Equity
1000000.0
995003.5360000001
990003.9610000002
985007.7460000004
980011.5310000005
975012.6360000006
970138.8325000008
965310.1450000008
960482.5350000008
955638.102500001
950870.0525000009
946120.0235000009
941374.443500001
936668.343500001
947581.258700001
942844.187450001
